"ResponseId","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q26","Q27","Q28","Q29","Q30","Age.Group","Country.of.Subsidiary","Gender","Locale"
"R_3nHuleaBz6O6mlf",4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,NA,5,5,2,2,4,3,5,5,5,5,5,5,5,5,5,5,4,5,4,5,"1,3,6","35 to less than 45","USA","Female","USA"
"R_shV9hp6zDau7k65",4,4,4,3,3,4,5,4,3,4,5,5,5,4,4,4,NA,2,4,2,4,4,4,4,4,5,4,5,5,5,5,5,5,2,4,4,8,"1,2,5","25 to less than 35","Germany","Female","Germany"
"R_3nADYipXzIOpIoa",5,4,3,4,3,4,5,5,3,3,5,4,5,5,5,5,NA,NA,4,4,2,2,1,5,5,5,5,5,5,5,5,5,5,4,4,4,7,"1,2,3","25 to less than 35","USA","Male","USA"
"R_3KuWCoSpJ5ARd29",3,4,3,3,3,3,4,3,2,3,4,4,5,5,5,3,NA,5,NA,4,4,5,3,3,3,3,3,3,3,3,3,4,4,4,6,5,8,"1,2,3","55 years or over","USA","Male","USA"
"R_3NwcmacjkRmCuYv",4,4,3,4,4,4,3,3,4,4,4,4,5,5,5,5,NA,2,3,3,4,3,3,5,5,5,5,5,4,4,5,5,5,2,5,5,8,"1,2,3","35 to less than 45","USA","Female","USA"
"R_u7FVmeL0ouenYNX",4,4,3,4,5,4,3,3,3,4,4,4,4,4,4,4,NA,NA,3,2,2,2,2,5,4,5,5,5,4,4,5,5,5,4,4,2,8,"1,3,5","35 to less than 45","France","Male","France"
"R_1LjuPOj6Vo2Dxr1",4,4,4,3,4,3,3,3,4,3,3,4,5,5,5,5,NA,5,5,2,2,3,3,1,2,1,1,2,1,3,1,2,2,2,5,5,5,"1,3,5","35 to less than 45","USA","Female","USA"
"R_12bd7YlpZsUpXIT",4,4,2,3,2,4,4,4,2,3,2,3,5,5,5,5,NA,5,5,4,3,4,3,4,3,3,3,4,4,4,3,3,4,5,5,6,7,"2,5,6","45 to less than 55","Colombia","Male","Colombia"
"R_3M4JQv2WeNzVWTc",4,4,3,4,2,4,4,3,4,3,3,3,5,5,4,4,NA,5,NA,NA,NA,4,3,5,5,4,3,3,4,5,5,5,5,2,5,5,7,"1,2,3","45 to less than 55","USA","Male","USA"
"R_2xQXCBjsGhDC6rD",5,5,5,4,5,5,5,4,5,4,4,4,5,5,5,5,7,NA,NA,4,2,2,1,4,2,3,3,3,3,3,4,3,3,2,4,4,7,"1,3,5","55 years or over","Germany","Female","Germany"
"R_XmG8WF8qzSMqJiN",5,5,5,5,4,5,5,5,4,2,4,5,5,5,5,5,NA,2,NA,5,2,4,1,5,5,5,5,5,5,5,5,5,5,4,4,4,7,"1,2,3","35 to less than 45","USA","Male","USA"
"R_31MXLKeOrTxeHsy",3,4,4,3,3,4,4,3,3,2,4,3,4,5,5,4,3,2,4,3,2,2,1,3,5,5,5,5,3,3,4,4,5,4,4,2,1,"1,2,5","25 to less than 35","India","Male","India"
"R_24q0tK4HJahoLys",4,5,3,4,5,4,4,4,4,3,4,4,5,5,5,4,4,4,NA,3,4,2,1,5,5,5,5,5,5,5,5,5,5,1,1,1,8,"1,3,5","35 to less than 45","USA","Male","USA"
"R_3sbPGxVvaKmMiQ5",4,5,4,4,5,4,4,5,4,3,3,4,5,5,5,4,NA,5,5,3,3,2,3,5,4,5,4,4,4,1,5,4,4,7,2,2,4,"1,3,5","45 to less than 55","France","Female","France"
"R_8GHVG3mYzHNuLOp",4,4,3,4,2,4,4,4,3,4,4,3,4,4,4,4,4,4,5,2,3,3,3,5,4,4,4,4,4,4,5,5,5,7,2,2,7,"1,3,6","45 to less than 55","USA","Female","USA"
"R_31MHNFjRJyn2TZo",4,5,5,4,5,4,4,4,4,3,3,4,5,5,5,5,NA,5,5,4,4,4,5,5,3,4,4,4,5,3,3,4,5,2,4,2,8,"1,3,4","45 to less than 55","USA","Male","USA"
"R_3p0iH5whwngiWlF",5,5,4,4,3,4,5,4,4,4,4,4,5,5,5,5,NA,5,5,4,2,3,3,5,5,5,5,5,5,5,5,5,5,4,5,4,8,"1,2,3","25 to less than 35","USA","Female","USA"
"R_cZx4DFGFNFMYUIF",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,4,4,5,"1,2,3","35 to less than 45","Taiwan","Male","Taiwan"
"R_1FwG9NafXIMZPmu",3,3,3,3,3,3,4,4,3,3,4,4,5,5,5,5,NA,5,5,3,2,3,3,5,5,5,5,5,5,5,5,5,5,7,2,5,4,"1,5,6","25 to less than 35","USA","Female","USA"
"R_2wBsFx0j6PxSw2G",4,5,3,4,5,4,5,4,3,4,5,5,5,5,5,4,NA,5,5,3,1,4,4,4,5,4,5,5,5,5,4,5,5,2,4,5,7,"1,2,3","25 to less than 35","USA","Male","USA"
"R_1eIWHYAfzX5Qhaw",4,4,4,4,2,3,4,4,4,2,3,2,4,4,4,4,4,2,3,2,2,4,4,3,4,4,4,4,4,4,4,4,4,1,1,4,4,"5","45 to less than 55","Guatemala","Female","Guatemala"
"R_3mh6TnecTTWwGbz",4,4,5,5,5,2,4,4,1,1,2,5,5,5,5,5,7,NA,NA,5,1,1,1,5,5,5,4,3,4,5,5,5,5,2,1,4,4,"1,2,3","35 to less than 45","USA","Male","USA"
"R_2fcCZsdbP3Labrq",2,2,2,1,2,3,3,3,3,4,4,4,4,4,4,4,1,5,5,3,3,4,3,4,4,4,4,4,4,4,4,4,4,2,4,5,5,"2,6","45 to less than 55","Mexico","Male","Mexico"
"R_1yPi0NfKcnbMQSZ",4,4,4,3,5,4,5,4,3,3,4,5,5,5,4,4,NA,5,5,2,3,4,3,4,3,4,4,3,4,5,4,5,5,4,5,4,7,"1,3,4","less than 25","Germany","Male","Germany"
"R_2347Yw1uyclBvxW",3,3,4,3,2,4,4,4,4,3,2,3,3,4,5,4,NA,NA,NA,4,3,3,3,2,3,5,4,2,2,4,5,5,1,4,5,4,5,"2,3,5","25 to less than 35","China","Male","China"
"R_w4PX3fOivskVmKZ",4,5,4,4,4,4,5,4,4,5,4,3,5,5,5,5,1,5,4,4,4,4,NA,5,4,3,4,4,4,5,5,3,5,4,5,5,5,"1,2,6","55 years or over","Italy","Male","Italy"
"R_3Odpc5OlmzeiaB0",4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,NA,5,5,1,1,4,5,5,5,5,3,2,NA,NA,5,5,5,1,4,4,7,"1,3,4","55 years or over","USA","Female","USA"
"R_Zt787sNYjeZ0Lg5",5,5,5,4,4,4,4,3,4,3,4,3,5,5,5,4,NA,NA,NA,2,1,3,2,2,NA,5,3,3,5,5,5,2,2,7,2,5,4,"5,6","35 to less than 45","Mexico","Female","Mexico"
"R_2QyeIssAoIBHtIe",3,3,2,2,1,3,3,3,3,3,3,3,2,3,3,3,NA,5,3,3,3,4,3,5,3,4,4,3,3,3,4,4,3,7,4,6,4,"1,2,6","35 to less than 45","China","Male","China"
"R_tEt1DvJZQB9lm5r",4,4,3,3,1,5,5,4,1,4,4,3,5,5,5,5,2,NA,NA,3,3,2,3,4,4,4,4,5,4,4,4,4,4,4,5,5,7,"1,3,5","35 to less than 45","Brazil","Male","Brazil"
"R_1GQc0ETvUfKycNc",4,4,4,4,3,4,5,3,3,4,4,3,4,4,4,4,NA,5,3,4,3,3,2,5,5,5,5,5,5,5,5,5,5,4,4,4,7,"2,3,6","35 to less than 45","Mexico","Male","Mexico"
"R_1NdWOFIHynDBWXh",4,4,3,4,3,5,4,4,3,2,5,5,4,4,4,3,4,NA,3,4,5,2,2,5,5,3,4,4,1,2,5,4,4,4,5,5,8,"1,3,4","55 years or over","Germany","Female","Germany"
"R_1N4F8qzEHVKJg6F",4,3,3,4,4,5,4,3,4,4,4,4,5,5,5,4,2,2,5,3,2,3,2,3,5,3,4,4,5,5,4,5,5,4,4,4,8,"1,2,3","45 to less than 55","Germany","Male","Germany"
"R_3EyaOtLwbJqftL8",4,4,3,3,2,4,2,3,3,3,5,3,5,4,5,4,2,NA,NA,3,2,1,1,4,4,4,4,3,5,4,5,5,5,2,2,2,8,"2,3,7","35 to less than 45","USA","Female","USA"
"R_2YLGqwfWymlVw3F",4,4,3,5,5,4,5,4,5,3,2,5,4,3,4,2,NA,NA,NA,4,4,2,2,5,4,5,5,5,5,5,3,4,3,2,2,1,5,"1,4,5","25 to less than 35","Brazil","Female","Brazil"
"R_1I44HlNf63HZgIp",4,4,4,3,4,3,4,3,3,2,2,3,3,3,3,3,7,NA,NA,3,2,3,2,5,5,5,5,5,5,5,5,5,5,4,2,1,8,"2,3,4","45 to less than 55","Germany","Female","Germany"
"R_ULX4WtEBxSC1qI9",4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,NA,NA,3,3,1,1,2,4,3,4,4,4,5,5,5,4,5,2,2,4,7,"4,6,7","45 to less than 55","Italy","Female","Italy"
"R_3GoHkE5bYTvACsc",3,4,3,3,4,4,4,4,3,3,4,4,5,5,5,5,NA,5,5,3,3,4,4,4,2,3,2,2,3,3,4,4,4,4,5,4,7,"1,5,6","less than 25","USA","Male","USA"
"R_3JbifQ6C9YT7DVU",4,3,3,2,3,4,4,4,3,5,4,4,5,5,5,4,NA,NA,NA,1,1,4,1,5,4,3,2,2,4,3,4,2,4,5,5,5,8,"1,5,6","25 to less than 35","Germany","Male","Germany"
"R_rdrolLJpxE4JrXz",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,"1,2,6","45 to less than 55","USA","Male","USA"
"R_3nr9U0pOR7RSiUS",4,5,3,4,3,4,5,2,4,3,4,4,5,5,5,5,7,5,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,2,2,5,5,"1,3,6","25 to less than 35","Brazil","Female","Brazil"
"R_3n2GeNteD352ACl",5,5,4,4,5,4,4,4,4,4,4,4,5,4,4,3,7,2,5,3,1,2,1,5,5,5,4,4,4,3,5,5,4,4,4,4,5,"1,3,4","45 to less than 55","Germany","Female","Germany"
"R_2q9RcUDBidDgHvA",3,4,3,3,2,3,4,3,4,2,3,1,5,4,4,4,NA,5,5,3,3,4,3,5,3,3,3,3,3,5,4,5,5,2,4,4,7,"1,3,5","55 years or over","USA","Male","USA"
"R_1nViNyPUW561kRr",3,4,2,3,4,3,3,3,3,2,4,3,4,3,4,4,NA,NA,NA,3,2,3,2,4,3,3,3,3,3,4,4,4,3,2,4,2,5,"1,3,6","25 to less than 35","USA","Male","USA"
"R_3LhVaAPFGeXJeBT",2,5,2,3,4,4,5,2,4,1,3,3,5,4,4,4,NA,5,NA,2,1,2,1,3,5,3,3,4,5,5,5,4,5,4,2,1,5,"2,3,6","25 to less than 35","USA","Female","USA"
"R_PMTQu4Lwli9vEOt",3,3,1,1,1,4,4,3,2,3,3,3,4,5,5,4,4,5,3,3,2,3,3,4,5,4,4,4,4,4,4,4,4,2,4,4,7,"3,6","45 to less than 55","Chile","Female","Chile"
"R_3QzLFp43ycytOAV",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,NA,2,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,7,"2,5,6","35 to less than 45","China","Male","China"
"R_qLAyUoPGBCm6dax",3,4,3,3,2,3,2,3,3,3,3,2,4,4,4,4,7,NA,5,2,2,2,2,4,4,3,4,3,4,2,4,4,4,7,2,1,5,"2,3,6","35 to less than 45","USA","Female","USA"
"R_1l3IQJyv98GrKtX",5,5,4,5,4,4,5,4,3,5,4,5,4,4,4,4,NA,2,NA,3,4,3,3,5,4,5,4,4,4,5,5,5,5,4,4,5,7,"3,5,6","45 to less than 55","Mexico","Male","Mexico"
"R_3r1wITm6Y2IPWxD",4,4,2,3,4,4,3,3,3,2,3,4,4,4,4,4,NA,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,2,4,5,5,"1,3,5","35 to less than 45","USA","Male","USA"
"R_Um9a4o1BnK2MsEN",5,5,4,4,1,5,4,3,5,5,5,5,5,5,5,5,NA,5,NA,2,1,3,3,4,4,4,5,5,5,5,5,5,5,2,4,4,7,"1,3,6","35 to less than 45","Italy","Female","Italy"
"R_2R3oIyCmg9zDzYy",4,4,3,4,4,5,4,4,4,4,4,4,4,4,5,4,NA,4,NA,5,2,3,3,4,5,3,4,5,5,5,3,5,4,4,4,4,7,"2,6","35 to less than 45","Taiwan","Male","Taiwan"
"R_2D1XRtFlKjN410n",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,3,2,2,2,2,1,1,1,1,1,2,1,1,1,1,5,6,6,8,"4,6","less than 25","China","Male","China"
"R_3NKid6fSLh4OW5j",5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,7,2,3,5,2,1,1,4,5,4,5,5,5,4,4,5,5,4,4,5,7,"1,2,6","35 to less than 45","USA","Female","USA"
"R_3JKI1CugRDqrz9b",4,4,3,4,3,3,4,3,4,3,3,3,4,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,5,7,"3,5,6","45 to less than 55","USA","Female","USA"
"R_2q2bskyxFqDqHrr",4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,5,"1,2,6","25 to less than 35","China","Female","China"
"R_1CI8O5Sk4TpS7Qo",3,4,4,3,1,4,3,4,1,1,3,2,5,5,4,4,4,NA,NA,2,1,2,2,5,5,4,4,5,5,3,3,3,4,4,2,5,1,"1,3,4","25 to less than 35","USA","Female","USA"
"R_416qHszEkNWoga5",4,4,3,3,3,4,4,3,5,3,4,4,5,5,4,5,2,NA,2,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,4,4,4,7,"1,5,6","35 to less than 45","Germany","Male","Germany"
"R_27JbNdKHgIbCUig",4,4,3,4,5,4,5,3,4,3,4,4,5,4,5,4,NA,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,2,5,4,4,"1,2,3","55 years or over","USA","Male","USA"
"R_aXVtm9OQW51AMwx",4,5,5,4,3,4,5,4,3,3,4,2,5,5,5,5,NA,2,NA,3,3,3,2,4,4,3,4,4,3,3,4,4,4,4,4,2,7,"1,2,6","25 to less than 35","USA","Female","USA"
"R_28Tnv9FUaA0whab",3,3,4,5,5,4,5,5,4,3,4,4,4,5,5,4,3,5,5,3,4,3,3,5,3,5,3,4,5,5,5,5,5,2,6,6,8,"2,3,5","25 to less than 35","China","Male","China"
"R_1QfG5OilOB8rCTZ",5,5,4,4,4,5,5,4,5,3,5,3,5,5,5,5,1,2,3,5,2,4,3,5,4,4,5,5,4,4,5,5,5,2,4,4,5,"2,5,6","45 to less than 55","Brazil","Male","Brazil"
"R_2DS2Rs3t2oLJAAt",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,7,3,NA,5,3,3,3,5,5,4,5,5,4,4,5,5,5,5,5,4,5,"1,3,6","45 to less than 55","Germany","Female","Germany"
"R_2Sw6aky8MMmgqiE",4,4,2,4,3,4,5,4,3,4,4,3,5,4,4,4,1,2,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,2,2,2,8,"1,2,3","35 to less than 45","USA","Female","USA"
"R_27qZDY0kXioCOxS",1,1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,5,2,5,4,3,4,3,4,4,3,5,3,3,3,4,4,4,4,5,5,7,"2","35 to less than 45","Peru","Female","Peru"
"R_1AlfurcbH2GIsrT",3,5,3,4,4,4,5,4,3,4,5,5,5,5,5,5,1,NA,NA,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,1,4,1,"3,4,6","55 years or over","USA","Female","USA"
"R_1C75UgGrO808Adk",2,2,2,2,3,1,3,1,4,3,2,2,4,4,4,4,NA,2,NA,1,2,2,2,4,4,4,5,5,5,4,5,4,5,4,5,4,5,"1,3,6","35 to less than 45","USA","Female","USA"
"R_2YyWmeLKpOT4iUw",5,5,5,5,5,4,4,4,3,3,4,4,5,5,4,5,NA,NA,NA,5,2,1,2,4,3,4,4,3,3,1,4,3,3,2,4,5,7,"1,2,4","25 to less than 35","USA","Male","USA"
"R_1mznlOAHBoCC6b1",3,3,2,3,2,4,4,3,2,3,4,3,4,4,4,4,4,2,4,2,3,3,3,4,4,5,4,3,4,5,5,5,5,7,4,5,4,"1","45 to less than 55","Mexico","Male","Mexico"
"R_3dY6zeI1fGc3Zst",5,5,4,5,4,5,5,5,5,5,4,4,5,5,4,4,NA,5,5,4,5,4,4,4,3,4,4,2,1,4,5,3,4,2,4,4,8,"1,2,3","35 to less than 45","Italy","Female","Italy"
"R_1i8WAk7H3jYglxM",5,5,4,4,3,4,4,4,4,4,4,4,5,5,5,5,NA,5,5,3,1,1,1,5,5,5,5,5,5,5,5,5,5,2,4,4,7,"1,3,6","45 to less than 55","USA","Female","USA"
"R_qx7pJ4h77LYV6cp",4,5,4,4,4,4,4,4,3,3,4,3,5,5,5,5,NA,NA,NA,3,1,2,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,"3,4,5","55 years or over","USA","Female","USA"
"R_80W3C74aomWUbxD",4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4,NA,5,NA,4,2,4,4,5,3,3,3,4,4,5,4,4,4,4,5,4,8,"1,3,5","35 to less than 45","Germany","Male","Germany"
"R_3lrZdOXW6EGdGaF",5,5,4,4,5,5,4,4,5,3,4,4,5,5,5,5,NA,5,5,4,4,4,4,5,5,5,5,5,5,4,4,4,5,4,4,4,7,"1,2,5","55 years or over","France","Male","France"
"R_1j7fzsVzqOdYuQZ",5,4,5,3,3,2,4,3,4,4,3,4,2,3,2,4,NA,4,NA,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,"3,4,6","35 to less than 45","Germany","Male","Germany"
"R_21iBm38Jb5YesTy",5,5,5,5,3,5,3,5,4,5,4,4,4,4,4,4,NA,3,NA,4,2,3,3,5,5,3,5,5,4,5,5,5,5,5,2,4,7,"2,3,5","35 to less than 45","USA","Male","USA"
"R_1dK5zeBBr69sw9D",4,4,3,4,2,3,3,2,3,3,4,4,4,4,4,3,5,5,NA,3,4,2,1,5,5,3,4,5,4,3,3,3,4,4,4,5,7,"2,3,6","25 to less than 35","Ecuador","Male","Ecuador"
"R_OARAMkacUtij9yF",4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,NA,5,5,3,3,3,4,3,4,3,4,4,4,4,4,4,4,2,4,4,7,"3,5,6","35 to less than 45","Mexico","Female","Mexico"
"R_2y2cLRprUuX1VDe",4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,NA,NA,NA,3,2,1,2,3,5,3,4,5,5,5,4,4,5,1,2,5,8,"1,3,5","35 to less than 45","Mexico","Female","Mexico"
"R_3GwvAZba7F4HUxj",3,3,2,3,2,4,2,1,3,1,3,3,4,5,5,5,7,NA,NA,1,1,1,1,5,5,5,4,4,4,5,5,5,5,4,2,4,5,"3,5,6","35 to less than 45","USA","Female","USA"
"R_eyfrRA7rjmzeLqF",5,5,4,4,4,4,5,4,4,4,5,4,4,5,4,4,7,NA,NA,4,1,1,2,5,5,5,5,5,5,5,5,5,5,4,2,1,8,"1,2,3","45 to less than 55","USA","Male","USA"
"R_8oGJnIoxNZAeeCl",4,4,4,4,4,5,5,5,4,5,5,5,4,4,5,5,NA,2,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,4,2,4,7,"1,4,6","35 to less than 45","USA","Male","USA"
"R_3QJC1nH4XIAqqwB",5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,4,NA,5,NA,4,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,8,"1,2,6","45 to less than 55","USA","Female","USA"
"R_oZaxJC5b8GUzgeB",4,4,3,2,3,4,3,1,4,1,2,1,4,5,4,5,7,2,5,5,1,4,3,5,4,4,5,2,3,3,3,4,5,1,4,5,8,"6","55 years or over","Mexico","Male","Mexico"
"R_2XbQh6ZVC4XkxP3",4,4,4,4,1,4,5,3,2,3,3,3,5,5,5,5,NA,5,3,3,1,2,2,5,5,5,5,5,5,5,5,5,5,4,2,4,7,"1,3,5","45 to less than 55","USA","Male","USA"
"R_1LXKoeoATYrun3x",4,5,5,4,3,4,4,3,3,3,5,5,5,3,5,4,NA,5,NA,2,3,3,2,5,1,3,5,5,3,4,5,4,4,4,6,6,7,"1,3,6","25 to less than 35","India","Male","India"
"R_26mOsjUsU6Xwzvo",5,4,5,4,3,4,4,4,2,3,2,2,4,4,4,4,NA,2,4,4,4,5,4,1,3,1,3,2,3,4,4,4,4,4,4,4,7,"1,4,5","35 to less than 45","Germany","Female","Germany"
"R_06Sf8rxa3IukxTr",3,3,3,4,5,5,5,4,4,4,4,4,5,5,5,5,NA,5,4,5,5,3,2,5,5,5,5,5,5,5,5,3,5,4,4,2,8,"1,2,3","45 to less than 55","Germany","Male","Germany"
"R_22AmAHHnmU6eImX",3,4,4,3,4,4,5,4,3,4,4,4,5,5,5,5,NA,5,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,2,4,4,8,"1,2,6","35 to less than 45","USA","Female","USA"
"R_3iWFfw1lpO18If0",4,4,4,4,4,3,3,3,3,3,3,4,NA,4,4,4,NA,5,5,3,3,4,4,5,5,4,5,5,5,4,5,4,4,2,4,5,5,"1,3,5","45 to less than 55","Portugal","Female","Portugal"
"R_86u7rzkcKRjmVOh",3,4,4,4,2,3,2,2,2,3,4,4,4,4,4,4,4,2,3,2,1,2,2,5,5,5,5,5,5,5,4,4,4,1,1,2,1,"3","35 to less than 45","USA","Female","USA"
"R_xAwOLr1NIKh5IJP",4,3,4,3,3,3,4,4,3,4,4,3,5,4,5,4,NA,5,5,2,1,2,2,4,4,3,3,2,5,4,2,4,4,7,4,2,8,"1,3,6","35 to less than 45","Germany","Female","Germany"
"R_dfX3Z0PNDAcXLoZ",4,4,3,3,4,4,3,3,3,2,3,3,5,5,5,5,3,5,5,4,4,3,3,4,3,3,4,4,4,3,4,3,4,1,1,2,4,"1,2,3","55 years or over","USA","Male","USA"
"R_3gXfjy753bjYg35",5,5,1,4,4,5,5,5,5,4,4,5,5,5,5,4,4,1,3,4,3,2,2,5,5,5,5,5,5,4,4,4,4,4,6,5,8,"6","35 to less than 45","Panama","Female","Panama"
"R_sM3873vov4aSPip",4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,NA,2,NA,3,1,4,3,5,4,5,4,5,5,4,5,3,4,4,4,4,5,"1,3,6","45 to less than 55","Germany","Female","Germany"
"R_1hQEnTd1yz9YGyZ",4,4,4,3,4,4,4,4,5,4,3,4,5,4,4,4,NA,5,5,3,1,2,1,5,5,5,5,5,5,5,5,5,5,2,4,4,8,"1,2,3","35 to less than 45","Germany","Male","Germany"
"R_1mDA5rFY1077Vrf",5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,NA,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,4,5,4,7,"2,3,5","25 to less than 35","Brazil","Female","Brazil"
"R_27xNb7ZpLRuzlfQ",4,4,4,4,5,4,5,4,4,5,5,4,4,4,4,4,NA,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,8,"1,2,6","45 to less than 55","Germany","Male","Germany"
"R_3hgAaHPekEiRjZ8",5,4,3,5,5,5,5,4,4,4,5,4,5,5,5,5,NA,5,NA,5,5,3,3,5,5,5,5,5,5,5,5,5,5,4,5,2,7,"1,2,3","45 to less than 55","Germany","Female","Germany"
"R_2woArriju540Kgo",4,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,2,2,5,2,2,3,3,3,4,4,5,5,4,3,4,4,3,7,4,4,5,"2,3,6","45 to less than 55","Chile","Female","Chile"
"R_28Zpk38ttdT0fGT",4,3,3,3,4,5,4,4,5,4,2,4,5,5,5,5,4,2,5,4,3,1,2,4,4,4,4,4,5,5,5,5,5,7,2,2,5,"2,3,5","25 to less than 35","India","Male","India"
"R_3F2mEcFOyGJZqVI",5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,NA,5,4,5,5,4,4,4,5,4,5,4,5,5,5,5,5,4,5,4,8,"1,2,5","35 to less than 45","USA","Female","USA"
"R_1MSvVxYx1jImleU",4,5,5,5,1,4,4,5,5,4,4,4,5,4,5,5,NA,1,3,4,5,4,4,5,5,5,5,5,5,5,5,5,5,2,4,4,7,"1,3,5","55 years or over","Italy","Female","Italy"
"R_247ppPgpC5TFcGW",5,5,4,5,4,5,5,5,4,2,2,1,5,5,5,4,NA,2,5,5,5,3,3,4,4,4,4,5,5,5,4,5,4,4,5,5,8,"3,4,6","45 to less than 55","India","Male","India"
"R_u2gTuZ5a12WBQtz",3,3,4,3,3,3,3,3,3,3,2,2,4,4,4,4,NA,NA,4,1,1,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,7,"1,3,6","35 to less than 45","USA","Female","USA"
"R_3CT8vUfbMpPZ6iY",4,5,4,5,3,4,4,3,4,3,4,4,4,4,4,4,4,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,4,5,5,8,"1,2,3","35 to less than 45","USA","Female","USA"
"R_2RO2SuUuZ1DVY0s",4,4,3,4,3,3,4,4,1,3,1,1,4,4,4,4,NA,2,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,5,6,5,"3,5,6","55 years or over","Chile","Female","Chile"
"R_2wiU4EhCBtwS7xs",3,4,4,4,4,4,5,4,3,3,4,3,5,5,5,5,NA,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,7,2,4,4,"1,4,5","25 to less than 35","USA","Female","USA"
"R_2OSIhwWbcX3ObGn",5,4,5,3,4,5,4,2,4,3,3,5,4,4,5,4,4,1,3,1,1,2,3,5,2,3,5,5,2,5,5,5,5,7,1,1,1,"3,4,6","45 to less than 55","France","Male","France"
"R_8IE8F3UpTtyVGEx",4,4,3,4,3,4,4,5,4,3,5,5,5,5,5,5,NA,5,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,8,"1,2,3","45 to less than 55","Germany","Female","Germany"
"R_8tYPpxzZgADQRjP",5,4,3,5,5,5,5,5,5,5,5,5,4,4,4,4,NA,NA,NA,5,1,1,2,1,4,1,3,4,4,3,3,5,5,2,4,1,7,"1,2,3","35 to less than 45","Germany","Male","Germany"
"R_zYekdd8x3gkCFDb",4,5,4,4,5,4,5,4,4,3,4,3,4,4,4,5,1,NA,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,4,5,4,"1,4,5","25 to less than 35","USA","Male","USA"
"R_24C4CALFKsRLnwK",4,4,4,4,4,4,4,4,3,2,3,2,4,3,2,2,NA,NA,4,3,2,2,2,4,4,4,4,4,4,4,4,4,4,7,2,2,5,"1,3,4","35 to less than 45","France","Male","France"
"R_3HjkEbHEzH2aUIA",3,5,4,4,5,3,3,4,2,2,3,1,5,5,5,2,NA,NA,5,2,2,3,2,5,5,5,5,5,5,5,5,5,5,1,4,5,5,"3,4,5","45 to less than 55","USA","Female","USA"
"R_1I4rJQisgvYECZg",4,5,4,4,4,5,5,4,4,4,4,4,5,5,5,5,NA,3,NA,4,3,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,7,"3,6","35 to less than 45","USA","Female","USA"
